timestamp,roll,pitch,yaw
117367095444,-0.884858,-0.12522,-0.820906
117367118007,-0.883765,-0.124919,-0.820738
117367133037,-0.882574,-0.124419,-0.820478
117367163539,-0.882997,-0.123681,-0.820145
117367177981,-0.883379,-0.122906,-0.819642
117367194264,-0.882901,-0.122455,-0.81918
117367216756,-0.882096,-0.122062,-0.81878
117367238168,-0.880895,-0.1217,-0.818634
117367307953,-0.880895,-0.1217,-0.818634
117367308743,-0.881481,-0.121352,-0.818581
117367309587,-0.881929,-0.12122,-0.818384
117367352993,-0.879133,-0.121435,-0.818185
117367357920,-0.877586,-0.121646,-0.818324
117367370990,-0.877795,-0.121906,-0.818394
117367405850,-0.87918,-0.122163,-0.818467
117367411763,-0.87967,-0.122496,-0.818686
117367455249,-0.879355,-0.123054,-0.819003
117367465554,-0.878333,-0.123827,-0.819389
117367471853,-0.877343,-0.124584,-0.819809
117367487445,-0.877743,-0.12477,-0.820073
117367509209,-0.878975,-0.125117,-0.820249
117367539864,-0.878632,-0.125523,-0.820155
117367554211,-0.877804,-0.125812,-0.820361
117367577339,-0.87897,-0.125947,-0.820477
117367599971,-0.880223,-0.126208,-0.820677
117367614208,-0.880294,-0.126639,-0.821256
117367637420,-0.880539,-0.126894,-0.821754
117367660014,-0.882264,-0.126915,-0.822303
117367674236,-0.882131,-0.127349,-0.822678
117367697546,-0.880554,-0.127789,-0.823308
117367719999,-0.879992,-0.127838,-0.823659
117367734288,-0.880535,-0.127642,-0.823685
117367757468,-0.880526,-0.127592,-0.823547
117367779905,-0.880578,-0.127491,-0.823603
117367801167,-0.879907,-0.127523,-0.823323
117367817355,-0.878973,-0.127582,-0.823171
117367839904,-0.879701,-0.127283,-0.823125
117367861193,-0.881117,-0.126648,-0.822862
117367877513,-0.880649,-0.126678,-0.822786
117367906135,-0.878088,-0.126661,-0.822708
117367921071,-0.877978,-0.126599,-0.82273
117367927938,-0.87995,-0.126082,-0.822498
117367950272,-0.881432,-0.125661,-0.822297
117367965253,-0.881464,-0.125646,-0.822329
117367987792,-0.881322,-0.125599,-0.822319
117368010237,-0.882076,-0.125476,-0.822164
117368028162,-0.882852,-0.125476,-0.822155
117368047878,-0.882285,-0.125307,-0.821986
117368070415,-0.881327,-0.125432,-0.821938
117368085378,-0.881327,-0.125432,-0.821938
117368107882,-0.881893,-0.125601,-0.822106
117368130391,-0.882332,-0.126036,-0.822269
117368145454,-0.882279,-0.126567,-0.82246
117368176711,-0.882837,-0.127115,-0.822738
117368190273,-0.884125,-0.127364,-0.822971
117368212877,-0.884454,-0.127738,-0.823156
117368227738,-0.884312,-0.128121,-0.823394
117368250311,-0.884574,-0.128282,-0.823519
117368265406,-0.884893,-0.128605,-0.823566
117368287864,-0.883996,-0.128679,-0.823712
117368310258,-0.881974,-0.128895,-0.823907
117368325329,-0.882006,-0.128881,-0.823939
117368347780,-0.883334,-0.128529,-0.823971
117368370397,-0.884063,-0.12823,-0.823926
117368394420,-0.883482,-0.128177,-0.824001
117368416548,-0.883535,-0.128076,-0.824057
117368430236,-0.883535,-0.128076,-0.824057
117368446704,-0.883535,-0.128076,-0.824057
117368475202,-0.884055,-0.127947,-0.824189
117368490243,-0.885334,-0.127716,-0.824038
117368508231,-0.885378,-0.127565,-0.823956
117368527705,-0.884108,-0.127416,-0.823998
117368550374,-0.884108,-0.127416,-0.823998
117368566839,-0.884939,-0.127128,-0.823793
117368587805,-0.884982,-0.126977,-0.823712
117368610319,-0.883731,-0.126975,-0.823376
117368626802,-0.881979,-0.127206,-0.823184
117368647819,-0.881979,-0.127206,-0.823184
117368670333,-0.881837,-0.127158,-0.823174
117368688339,-0.88197,-0.127155,-0.823046
117368710611,-0.881955,-0.127504,-0.822888
117368730421,-0.881415,-0.12815,-0.82298
117368748315,-0.880858,-0.128461,-0.823198
117368767929,-0.881505,-0.128727,-0.823182
117368790407,-0.881534,-0.128925,-0.822942
117368808164,-0.879775,-0.129535,-0.822864
117368827684,-0.877941,-0.129882,-0.82259
117368850307,-0.877807,-0.130119,-0.822318
117368875686,-0.878297,-0.130257,-0.821887
117368887761,-0.876303,-0.130644,-0.821583
117368917896,-0.872733,-0.131256,-0.8214
117368932780,-0.871906,-0.131545,-0.821612
117368947896,-0.872962,-0.13143,-0.821492
117368987402,-0.872092,-0.131441,-0.821538
117368989727,-0.869989,-0.131746,-0.821392
117369016752,-0.869879,-0.131685,-0.821415
117369030433,-0.871005,-0.131805,-0.821227
117369048347,-0.868713,-0.132186,-0.82089
117369067881,-0.863379,-0.133454,-0.820504
117369090431,-0.85973,-0.134111,-0.819857
117369108372,-0.858165,-0.133557,-0.817517
117369135246,-0.854372,-0.133089,-0.813211
117369150378,-0.843291,-0.132794,-0.806725
117369168201,-0.827372,-0.130248,-0.797141
117369187770,-0.811427,-0.124851,-0.78155
117369210234,-0.794172,-0.118903,-0.759844
117369228130,-0.758174,-0.111232,-0.731763
117369247837,-0.697594,-0.101007,-0.69296
117369270209,-0.620876,-0.0914838,-0.647385
117369288260,-0.543902,-0.0802112,-0.597236
117369307902,-0.474842,-0.0687396,-0.542654
117369337866,-0.412209,-0.0559623,-0.481823
117369348285,-0.357876,-0.0420318,-0.412884
117369369301,-0.318987,-0.0293138,-0.33497
117369390376,-0.286035,-0.0178402,-0.250314
117369408161,-0.248706,-0.00800343,-0.156507
117369429186,-0.21056,0.000981882,-0.0522762
117369450214,-0.168651,0.0106315,0.0619561
117369472703,-0.122439,0.0211445,0.184139
117369490605,-0.0802378,0.0307205,0.309998
117369510179,-0.0402571,0.0363619,0.433115
117369532708,-0.00030817,0.0353454,0.549548
117369549158,0.0422175,0.0334814,0.656016
117369570192,0.0923984,0.0320173,0.750153
117369588083,0.140517,0.0326504,0.823897
117369609166,0.179072,0.0365081,0.880882
117369630210,0.205029,0.0446593,0.920899
117369648162,0.229559,0.0426617,0.947557
117369669136,0.280431,0.0612899,1.03003
117369690207,0.325329,0.0868058,1.04198
117369712763,0.315301,0.0944536,1.00906
117369730666,0.267428,0.081452,0.988062
117369753117,0.228003,0.0806591,0.976219
117369772670,0.188559,0.0803723,0.963679
117369791216,0.165115,0.073995,0.95082
117369810276,0.156366,0.0686439,0.933271
117369832705,0.149226,0.0608956,0.916051
117369850651,0.143738,0.0529769,0.903853
117369870210,0.13817,0.0486389,0.895812
117369892710,0.131971,0.0466922,0.888951
117369910617,0.124729,0.0450978,0.884124
117369937824,0.118077,0.0418317,0.88489
117369952743,0.113572,0.0392455,0.890036
117369970638,0.111543,0.0392843,0.895517
117369990371,0.110242,0.0395998,0.89927
117370012685,0.109158,0.0374535,0.904257
117370030620,0.108221,0.0353646,0.912223
117370050273,0.10776,0.033202,0.91985
117370074312,0.108453,0.0308217,0.925459
117370096793,0.109806,0.0286106,0.931952
